"","Age.at.which.Full.Time.Education.Ceased","Sex","CensusYear","Province.County.or.City","Highest.Level.of.Education.Completed","value"
"1","Total persons","Both sexes","2011","State","Total education ceased and not ceased",3608662
"2","Total whose full-time education has ceased","Both sexes","2011","State","Total education ceased and not ceased",3003490
"3","Under 15 years","Both sexes","2011","State","Total education ceased and not ceased",239908
"4","15 years","Both sexes","2011","State","Total education ceased and not ceased",149580
"5","16 years","Both sexes","2011","State","Total education ceased and not ceased",261042
"6","17 years","Both sexes","2011","State","Total education ceased and not ceased",245840
"7","18 years","Both sexes","2011","State","Total education ceased and not ceased",372689
"8","19 years","Both sexes","2011","State","Total education ceased and not ceased",128081
"9","20 years","Both sexes","2011","State","Total education ceased and not ceased",114927
"10","21 years","Both sexes","2011","State","Total education ceased and not ceased",153731
"11","22 years","Both sexes","2011","State","Total education ceased and not ceased",139046
"12","23 years","Both sexes","2011","State","Total education ceased and not ceased",92309
"13","24 years","Both sexes","2011","State","Total education ceased and not ceased",65921
"14","25 years and over","Both sexes","2011","State","Total education ceased and not ceased",190847
"15","Not stated","Both sexes","2011","State","Total education ceased and not ceased",849569
"16","Total whose full-time education has not ceased","Both sexes","2011","State","Total education ceased and not ceased",605172
"17","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","State","Total education ceased and not ceased",408838
"18","Full-time education not ceased - Other","Both sexes","2011","State","Total education ceased and not ceased",196334
"19","Total persons","Male","2011","State","Total education ceased and not ceased",1771510
"20","Total whose full-time education has ceased","Male","2011","State","Total education ceased and not ceased",1473483
"21","Under 15 years","Male","2011","State","Total education ceased and not ceased",130481
"22","15 years","Male","2011","State","Total education ceased and not ceased",84759
"23","16 years","Male","2011","State","Total education ceased and not ceased",145418
"24","17 years","Male","2011","State","Total education ceased and not ceased",117191
"25","18 years","Male","2011","State","Total education ceased and not ceased",176365
"26","19 years","Male","2011","State","Total education ceased and not ceased",54576
"27","20 years","Male","2011","State","Total education ceased and not ceased",52448
"28","21 years","Male","2011","State","Total education ceased and not ceased",69485
"29","22 years","Male","2011","State","Total education ceased and not ceased",65531
"30","23 years","Male","2011","State","Total education ceased and not ceased",44598
"31","24 years","Male","2011","State","Total education ceased and not ceased",32653
"32","25 years and over","Male","2011","State","Total education ceased and not ceased",89742
"33","Not stated","Male","2011","State","Total education ceased and not ceased",410236
"34","Total whose full-time education has not ceased","Male","2011","State","Total education ceased and not ceased",298027
"35","Full-time education not ceased - Total at school, university, etc.","Male","2011","State","Total education ceased and not ceased",201203
"36","Full-time education not ceased - Other","Male","2011","State","Total education ceased and not ceased",96824
"37","Total persons","Female","2011","State","Total education ceased and not ceased",1837152
"38","Total whose full-time education has ceased","Female","2011","State","Total education ceased and not ceased",1530007
"39","Under 15 years","Female","2011","State","Total education ceased and not ceased",109427
"40","15 years","Female","2011","State","Total education ceased and not ceased",64821
"41","16 years","Female","2011","State","Total education ceased and not ceased",115624
"42","17 years","Female","2011","State","Total education ceased and not ceased",128649
"43","18 years","Female","2011","State","Total education ceased and not ceased",196324
"44","19 years","Female","2011","State","Total education ceased and not ceased",73505
"45","20 years","Female","2011","State","Total education ceased and not ceased",62479
"46","21 years","Female","2011","State","Total education ceased and not ceased",84246
"47","22 years","Female","2011","State","Total education ceased and not ceased",73515
"48","23 years","Female","2011","State","Total education ceased and not ceased",47711
"49","24 years","Female","2011","State","Total education ceased and not ceased",33268
"50","25 years and over","Female","2011","State","Total education ceased and not ceased",101105
"51","Not stated","Female","2011","State","Total education ceased and not ceased",439333
