"","Sex","CensusYear","Province.County.or.City","Birthplace","value"
"1","Both sexes","2011","State","All countries",4525281
"2","Male","2011","State","All countries",2243425
"3","Female","2011","State","All countries",2281856
"4","Both sexes","2011","Leinster","All countries",2470037
"5","Male","2011","Leinster","All countries",1217185
"6","Female","2011","Leinster","All countries",1252852
"7","Both sexes","2011","Carlow","All countries",54185
"8","Male","2011","Carlow","All countries",27248
"9","Female","2011","Carlow","All countries",26937
"10","Both sexes","2011","Dublin","All countries",1248107
"11","Male","2011","Dublin","All countries",608261
"12","Female","2011","Dublin","All countries",639846
"13","Both sexes","2011","Dublin City","All countries",511344
"14","Male","2011","Dublin City","All countries",249629
"15","Female","2011","Dublin City","All countries",261715
"16","Both sexes","2011","Dún Laoghaire-Rathdown","All countries",202596
"17","Male","2011","Dún Laoghaire-Rathdown","All countries",96971
"18","Female","2011","Dún Laoghaire-Rathdown","All countries",105625
"19","Both sexes","2011","Fingal","All countries",270767
"20","Male","2011","Fingal","All countries",132956
"21","Female","2011","Fingal","All countries",137811
"22","Both sexes","2011","South Dublin","All countries",263400
"23","Male","2011","South Dublin","All countries",128705
"24","Female","2011","South Dublin","All countries",134695
"25","Both sexes","2011","Kildare","All countries",208798
"26","Male","2011","Kildare","All countries",103946
"27","Female","2011","Kildare","All countries",104852
"28","Both sexes","2011","Kilkenny","All countries",94584
"29","Male","2011","Kilkenny","All countries",47438
"30","Female","2011","Kilkenny","All countries",47146
"31","Both sexes","2011","Laois","All countries",80176
"32","Male","2011","Laois","All countries",40422
"33","Female","2011","Laois","All countries",39754
"34","Both sexes","2011","Longford","All countries",38763
"35","Male","2011","Longford","All countries",19549
"36","Female","2011","Longford","All countries",19214
"37","Both sexes","2011","Louth","All countries",122085
"38","Male","2011","Louth","All countries",60393
"39","Female","2011","Louth","All countries",61692
"40","Both sexes","2011","Meath","All countries",182825
"41","Male","2011","Meath","All countries",91288
"42","Female","2011","Meath","All countries",91537
"43","Both sexes","2011","Offaly","All countries",76243
"44","Male","2011","Offaly","All countries",38214
"45","Female","2011","Offaly","All countries",38029
"46","Both sexes","2011","Westmeath","All countries",85254
"47","Male","2011","Westmeath","All countries",42284
"48","Female","2011","Westmeath","All countries",42970
"49","Both sexes","2011","Wexford","All countries",144139
"50","Male","2011","Wexford","All countries",71340
"51","Female","2011","Wexford","All countries",72799
"52","Both sexes","2011","Wicklow","All countries",134878
"53","Male","2011","Wicklow","All countries",66802
"54","Female","2011","Wicklow","All countries",68076
"55","Both sexes","2011","Munster","All countries",1230342
"56","Male","2011","Munster","All countries",612968
"57","Female","2011","Munster","All countries",617374
"58","Both sexes","2011","Clare","All countries",115148
"59","Male","2011","Clare","All countries",57376
"60","Female","2011","Clare","All countries",57772
"61","Both sexes","2011","Cork","All countries",512803
